Topic Question
__label__governance "How far society unpopular views open discussion"
__label__gender "History records male acts save males holds piffling interest females final result Be fair comment"
__label__mass_media "Do agree censorship nifty obstacle build"
__label__religion "Religion crucial percentage life young citizenry today Consider whether honest society"
__label__leadership "A good leader must always calculate beyond pauperization commonwealth Do match"
__label__crime_and_punishment "Should crime dedicate many year ago simply forgotten"
__label__economics "How far stern prosperity uncontrolled population growth go handwriting hand"
__label__globalisation "How far country aim self sufficient"
__label__leadership "Should politicians pursue popular point view conviction conflict"
__label__society "How important masses gild retain signified tradition"
__label__religion "Discuss grandness religion society today"
__label__family_marriage_youth "Information technology greater extent unmanageable parent today Discuss"
__label__science "Skill follow answer ball shaped hunger Discuss"
__label__mathematics_and_statistics "How reliable statistics guidebook planning future"
__label__business_and_economics "To extent income equivalence goal society"
